run_id,aircraft,wait_time,base_service_time,weather_delay_mins,total_turnaround_time,departure_clock_time,cpu_execution_time_sec,replication_id
1,Plane 1,0.0,12.92,0.0,12.92,08:21 AM,0.0076,1
1,Plane 2,0.0,30.02,0.0,30.02,08:48 AM,0.0076,1
1,Plane 3,0.0,27.07,0.0,27.07,08:59 AM,0.0076,1
1,Plane 4,0.0,20.28,0.0,20.28,09:19 AM,0.0076,1
1,Plane 5,-0.0,35.45,0.0,35.45,09:44 AM,0.0076,1
1,Plane 6,0.0,24.58,0.0,24.58,09:52 AM,0.0076,1
1,Plane 8,12.03,16.43,0.0,28.47,10:01 AM,0.0076,1
1,Plane 9,19.05,23.04,0.0,42.09,10:15 AM,0.0076,1
1,Plane 7,32.35,26.26,0.0,58.61,10:27 AM,0.0076,1
1,Plane 10,-0.0,23.42,0.0,23.42,10:58 AM,0.0076,1
1,Plane 11,-0.0,21.07,0.0,21.07,11:12 AM,0.0076,1
1,Plane 12,-0.0,20.16,0.0,20.16,11:31 AM,0.0076,1
1,Plane 13,-0.0,23.35,0.0,23.35,12:11 PM,0.0076,1
1,Plane 14,0.0,15.55,0.0,15.55,12:24 PM,0.0076,1
1,Plane 15,0.84,16.92,0.0,17.75,12:28 PM,0.0076,1
1,Plane 16,0.0,17.02,0.0,17.02,12:53 PM,0.0076,1
1,Plane 17,0.0,26.16,0.0,26.16,01:16 PM,0.0076,1
1,Plane 18,0.0,18.2,0.0,18.2,01:16 PM,0.0076,1
1,Plane 20,16.06,21.71,0.0,37.77,01:38 PM,0.0076,1
1,Plane 21,13.77,22.31,0.0,36.07,01:38 PM,0.0076,1
1,Plane 22,0.28,19.87,2.1,22.25,02:00 PM,0.0076,1
1,Plane 19,39.31,22.68,2.15,64.14,02:03 PM,0.0076,1
1,Plane 24,0.09,21.42,0.0,21.51,02:24 PM,0.0076,1
1,Plane 23,10.08,29.39,0.0,39.47,02:30 PM,0.0076,1
1,Plane 26,6.03,15.3,0.0,21.33,02:39 PM,0.0076,1
1,Plane 25,14.62,25.72,0.0,40.33,02:55 PM,0.0076,1
1,Plane 27,4.76,26.47,0.0,31.23,03:06 PM,0.0076,1
1,Plane 28,6.99,17.81,0.0,24.8,03:13 PM,0.0076,1
1,Plane 29,-0.0,13.8,0.0,13.8,03:47 PM,0.0076,1
1,Plane 31,9.7,11.99,0.0,21.69,03:59 PM,0.0076,1
1,Plane 1,0.0,19.48,0.0,19.48,08:30 AM,0.0058,2
1,Plane 2,0.0,29.3,0.0,29.3,08:53 AM,0.0058,2
1,Plane 3,0.0,20.37,0.0,20.37,08:55 AM,0.0058,2
1,Plane 6,0.96,18.86,3.86,23.68,09:16 AM,0.0058,2
1,Plane 5,7.79,29.34,0.0,37.13,09:24 AM,0.0058,2
1,Plane 7,14.89,12.97,0.0,27.86,09:29 AM,0.0058,2
1,Plane 8,13.34,18.64,0.0,31.98,09:43 AM,0.0058,2
1,Plane 4,50.11,32.04,0.0,82.15,10:01 AM,0.0058,2
1,Plane 10,5.05,22.99,0.0,28.04,10:06 AM,0.0058,2
1,Plane 11,17.19,17.26,0.0,34.44,10:18 AM,0.0058,2
1,Plane 9,38.28,32.32,0.0,70.61,10:38 AM,0.0058,2
1,Plane 13,3.18,32.71,0.0,35.89,10:51 AM,0.0058,2
1,Plane 15,15.07,19.29,0.0,34.36,10:57 AM,0.0058,2
1,Plane 14,29.72,26.92,0.0,56.64,11:18 AM,0.0058,2
1,Plane 18,3.8,26.53,0.0,30.34,11:24 AM,0.0058,2
1,Plane 16,43.5,29.59,0.0,73.09,11:47 AM,0.0058,2
1,Plane 19,4.62,27.36,0.0,31.98,11:51 AM,0.0058,2
1,Plane 21,19.91,19.57,0.0,39.47,12:07 PM,0.0058,2
